# 02805 shared playground — week 4 release (frozen snapshot, 2026-09-06; same crawl as week 1)
# The week-1 edges with a weight: how many times the article of A links to the article of B
# (repeated links to the same character = a stronger tie). 303 nodes, 1784 directed edges,
# 1288 of them with weight 1, max 11. Sum both directions for an undirected weighted network
# (max 16). node_id matches week1_nodes.tsv.
# source	target	weight
Abomination_(character)	Deathlok	1
Abomination_(character)	Gargoyle_(comics)	1
Abomination_(character)	Hercules_(Marvel_Comics)	1
Abomination_(character)	Hulk	3
Abomination_(character)	Jessica_Jones	1
Abomination_(character)	Kristoff_Vernard	1
Abomination_(character)	She-Hulk	2
Abomination_(character)	Spider-Man	1
Adam_Warlock	Black_Panther_(character)	1
Adam_Warlock	Black_Widow_(Natasha_Romanova)	1
Adam_Warlock	Devil_Dinosaur	1
Adam_Warlock	Doctor_Strange	1
Adam_Warlock	Emma_Frost	1
Adam_Warlock	Fin_Fang_Foom	1
Adam_Warlock	Genis-Vell	2
Adam_Warlock	Ghost_Rider	1
Adam_Warlock	Gladiator_(Kallark)	1
Adam_Warlock	Hulk	1
Adam_Warlock	Human_Torch	1
Adam_Warlock	Iron_Lad	1
Adam_Warlock	Kismet_(Marvel_Comics)	1
Adam_Warlock	Man-Thing	1
Adam_Warlock	Moon_Knight	1
Adam_Warlock	Moondragon	1
Adam_Warlock	Phyla-Vell	1
Adam_Warlock	Quasar_(character)	1
Adam_Warlock	Scarlet_Witch	1
Adam_Warlock	She-Hulk	1
Adam_Warlock	Spider-Man	1
Adam_Warlock	Star-Lord	1
Agent_X_(Marvel_Comics)	Bob,_Agent_of_Hydra	1
Agent_X_(Marvel_Comics)	Cable_(character)	1
Agent_X_(Marvel_Comics)	Outlaw_(Marvel_Comics)	2
Ajak	Hercules_(Marvel_Comics)	1
Ajak	Ikaris	1
Ajak	Makkari_(character)	1
Ajak	Thena	1
Alex_Wilder	Chase_Stein	1
Anne_Weying	Deadpool	1
Anne_Weying	Eddie_Brock	2
Anne_Weying	Spider-Man	2
Anne_Weying	Venom_(character)	2
Anole_(character)	Cyclops_(Marvel_Comics)	1
Anole_(character)	Emma_Frost	1
Anole_(character)	Hellion_(character)	2
Anole_(character)	Hulkling	1
Anole_(character)	Northstar_(character)	1
Anole_(character)	Rockslide_(character)	1
Anya_Corazon	Dusk_(comics)	1
Anya_Corazon	Machine_Man	1
Anya_Corazon	Mayday_Parker	2
Anya_Corazon	Ms._Marvel	1
Anya_Corazon	Phil_Urich	1
Anya_Corazon	Power_Man_(Victor_Alvarez)	1
Anya_Corazon	Rikki_Barnes	2
Anya_Corazon	Spider-Girl	1
Anya_Corazon	Spider-Man	3
Anya_Corazon	Spider-Man_Noir	1
Anya_Corazon	Spider-Woman_(Gwen_Stacy)	2
Anya_Corazon	Spider-Woman_(Jessica_Drew)	1
