# 02805 shared playground — week 4 release (frozen snapshot, 2026-09-15)
# Philosophers on English Wikipedia, born before 1900: everyone in the seven lists
# 'List of philosophers born in the centuries BC' ... 'born in the 19th century'
# (redirects resolved).
# Edge A -> B when the article of A links to the article of B; weight = how many
# times. 1444 nodes, 11135 directed edges, 8186 with weight 1, max 18.
# Sum both directions for an undirected weighted network.
source	target	weight
'Ali_ibn_al-'Abbas_al-Majusi	Abu_Bakr_al-Razi	1
'Ali_ibn_al-'Abbas_al-Majusi	Avicenna	1
A._V._Dicey	Jeremy_Bentham	1
A._V._Dicey	Leslie_Stephen	2
Abbo_of_Fleury	Pope_Sylvester_II	2
Abhinavagupta	Anandavardhana	1
Abhinavagupta	Bhartṛhari	1
Abner_of_Burgos	Abraham_ibn_Ezra	1
Abraham_Maimonides	Maimonides	2
Abraham_Tucker	William_Hazlitt	1
Abraham_Tucker	William_Paley	1
Abraham_bar_Hiyya	Abraham_ibn_Ezra	4
Abraham_bar_Hiyya	Bahya_ibn_Paquda	1
Abraham_bar_Hiyya	Isaac_Abarbanel	1
Abraham_bar_Hiyya	Plato	1
Abraham_bar_Hiyya	Plotinus	1
Abraham_bar_Hiyya	Ptolemy	2
Abraham_bar_Hiyya	Saadia_Gaon	1
Abraham_bar_Hiyya	Solomon_ibn_Gabirol	1
Abraham_ibn_Daud	Al-Farabi	2
Abraham_ibn_Daud	Aristotle	1
Abraham_ibn_Daud	Avicenna	2
Abraham_ibn_Daud	Bahya_ibn_Paquda	1
Abraham_ibn_Daud	Hasdai_Crescas	1
Abraham_ibn_Daud	Jesus	1
Abraham_ibn_Daud	Judah_Halevi	1
Abraham_ibn_Daud	Maimonides	1
Abraham_ibn_Daud	Saadia_Gaon	1
Abraham_ibn_Daud	Solomon_ibn_Gabirol	1
Abraham_ibn_Ezra	Baruch_Spinoza	2
Abraham_ibn_Ezra	Judah_Halevi	3
Abraham_ibn_Ezra	Moses_ibn_Ezra	1
Abraham_ibn_Ezra	Saadia_Gaon	2
Abu_Bakr_al-Razi	Abu_Hatim_Ahmad_ibn_Hamdan_al-Razi	1
Abu_Bakr_al-Razi	Al-Kindi	1
Abu_Bakr_al-Razi	Aristotle	1
Abu_Bakr_al-Razi	Avicenna	2
Abu_Bakr_al-Razi	Fakhr_al-Din_al-Razi	2
Abu_Bakr_al-Razi	Galen	4
Abu_Bakr_al-Razi	Gerard_of_Cremona	2
Abu_Bakr_al-Razi	Hamid_al-Din_al-Kirmani	1
Abu_Bakr_al-Razi	Jabir_ibn_Hayyan	2
Abu_Bakr_al-Razi	Omar_Khayyam	1
Abu_Bakr_al-Razi	Plato	2
Abu_Bakr_al-Razi	Thābit_ibn_Qurra	2
Abu_Hanifa	Abu_Mansur_al-Maturidi	1
Abu_Hanifa	Ahmad_ibn_Hanbal	1
Abu_Hanifa	Al-Ghazali	2
Abu_Hanifa	Al-Shafi'i	4
Abu_Hanifa	Ibn_Hazm	1
Abu_Hanifa	Ibn_Taymiyya	1
Abu_Hanifa	Jahm_bin_Safwan	2
Abu_Hatim_Ahmad_ibn_Hamdan_al-Razi	Abu_Bakr_al-Razi	2
Abu_Hatim_Ahmad_ibn_Hamdan_al-Razi	Muhammad_ibn_Ahmad_al-Nasafi	1
Abu_Ma'shar_al-Balkhi	Adelard_of_Bath	1
Abu_Ma'shar_al-Balkhi	Al-Kindi	1
Abu_Ma'shar_al-Balkhi	Albertus_Magnus	2
Abu_Ma'shar_al-Balkhi	Aristotle	1
Abu_Ma'shar_al-Balkhi	Giovanni_Pico_della_Mirandola	2
Abu_Ma'shar_al-Balkhi	Herman_of_Carinthia	1
Abu_Ma'shar_al-Balkhi	Pierre_d'Ailly	2
Abu_Ma'shar_al-Balkhi	Ptolemy	1
Abu_Ma'shar_al-Balkhi	Roger_Bacon	2
Abu_Mansur_al-Maturidi	Abu_Hanifa	5
Abu_Mansur_al-Maturidi	Abu_al-Hasan_al-Ash'ari	3
Abu_Mansur_al-Maturidi	Al-Ghazali	1
Abu_Mansur_al-Maturidi	Ibn_al-Rawandi	1
Abu_Ya'qub_al-Sijistani	Abu_Hatim_Ahmad_ibn_Hamdan_al-Razi	3
Abu_Ya'qub_al-Sijistani	Hamid_al-Din_al-Kirmani	1
Abu_Ya'qub_al-Sijistani	Muhammad_ibn_Ahmad_al-Nasafi	3
Abu_Zayd_al-Balkhi	Abu_Bakr_al-Razi	1
Abu_Zayd_al-Balkhi	Abu_Hayyan_al-Tawhidi	1
Abu_Zayd_al-Balkhi	Al-Kindi	1
Abu_Zayd_al-Balkhi	Avicenna	1
Abu_al-Hakam_al-Kirmani	Ibn_Arabi	1
Abu_al-Hasan_al-Ash'ari	Abu_Mansur_al-Maturidi	1
Abu_al-Hasan_al-Ash'ari	Ahmad_ibn_Hanbal	1
Abu_al-Hasan_al-Ash'ari	Al-Baqillani	1
Abu_al-Hasan_al-Ash'ari	Al-Ghazali	1
Abu_al-Hasan_al-Ash'ari	Al-Juwayni	1
Abu_al-Hasan_al-Ash'ari	Al-Shafi'i	1
Abu_al-Hasan_al-Ash'ari	Fakhr_al-Din_al-Razi	1
Abu_al-Hasan_al-Ash'ari	Ibn_Furak	1
Abu_al-Hasan_al-Ash'ari	Shah_Waliullah_Dehlawi	1
Abu_al-Hassan_al-Amiri	Abu_Hayyan_al-Tawhidi	1
Abu_al-Hassan_al-Amiri	Abu_Zayd_al-Balkhi	1
Abu_al-Hassan_al-Amiri	Al-Farabi	1
Abu_al-Hassan_al-Amiri	Al-Kindi	1
Abu_al-Hassan_al-Amiri	Avicenna	1
Abu_al-Hassan_al-Amiri	Miskawayh	1
Adam_Ferguson	Adam_Smith	3
