# 02805 shared playground — week 4 release (frozen snapshot, 2026-09-15)
# Philosophers on English Wikipedia, born before 1900: everyone in the seven lists
# 'List of philosophers born in the centuries BC' ... 'born in the 19th century'
# (redirects resolved). 1444 philosophers. era = the list they appear in;
# subfields = any of Wikipedia's subfield lists they are also on. node_id matches
# week4_philosophers_edges.tsv.
node_id	name	wikidata_id	url	era	subfields	description
'Ali_ibn_al-'Abbas_al-Majusi	'Ali ibn al-'Abbas al-Majusi	Q543191	https://en.wikipedia.org/wiki/%27Ali_ibn_al-%27Abbas_al-Majusi	1st through 10th centuries		'Ali ibn al-'Abbas al-Majusi, also known as Masoudi, or Latinized as Haly Abbas, was a Persian physician and psychologist from the Islamic Golden Age, most famous for the Kitab al-Maliki or Complete Book of the Medical Art, his textbook on medicine and psychology.
8th_Karmapa,_Mikyö_Dorje	8th Karmapa, Mikyö Dorje	Q1335480	https://en.wikipedia.org/wiki/8th_Karmapa,_Miky%C3%B6_Dorje	15th and 16th centuries		Mikyö Dorje was the eighth Karmapa, head of the Kagyu school of Tibetan Buddhism.
A._V._Dicey	A. V. Dicey	Q1344299	https://en.wikipedia.org/wiki/A._V._Dicey	19th century		Albert Venn Dicey, was a British Whig jurist and constitutional theorist.
Abbo_of_Fleury	Abbo of Fleury	Q306658	https://en.wikipedia.org/wiki/Abbo_of_Fleury	1st through 10th centuries		Abbo or Abbon of Fleury, also known as Saint Abbo or Abbon, was a monk and abbot of Fleury Abbey in present-day Saint-Benoît-sur-Loire near Orléans, France.
Abhinavagupta	Abhinavagupta	Q320619	https://en.wikipedia.org/wiki/Abhinavagupta	1st through 10th centuries	aestheticians	Abhinavagupta was a philosopher, mystic and aesthetician from Kashmir.
Abner_of_Burgos	Abner of Burgos	Q322560	https://en.wikipedia.org/wiki/Abner_of_Burgos	11th through 14th centuries		Abner of Burgos was a Jewish philosopher, a convert to Christianity, and a polemical writer against his former religion.
Abraham_Cohen_de_Herrera	Abraham Cohen de Herrera	Q329866	https://en.wikipedia.org/wiki/Abraham_Cohen_de_Herrera	15th and 16th centuries		Abraham Cohen de Herrera, also known as Alonso Nunez de Herrera or Abraham Irira, was a religious philosopher and cabbalist.
Abraham_Maimonides	Abraham Maimonides	Q2874503	https://en.wikipedia.org/wiki/Abraham_Maimonides	11th through 14th centuries		Abraham Maimonides was a Jewish philosopher and leader of Egyptian Jewry, and the son of Maimonides.
Abraham_Tucker	Abraham Tucker	Q2821859	https://en.wikipedia.org/wiki/Abraham_Tucker	18th century		Abraham Tucker was an English country gentleman, who devoted himself to the study of philosophy.
Abraham_bar_Hiyya	Abraham bar Hiyya	Q31439	https://en.wikipedia.org/wiki/Abraham_bar_Hiyya	11th through 14th centuries		Abraham bar Ḥiyya ha-Nasi, also known as Abraham Savasorda, Abraham Albargeloni, and Abraham Judaeus, was a Catalan Jewish mathematician, astronomer, philosopher, and translator who lived in Barcelona, then part of the County of Barcelona in what is now Spain.
Abraham_ibn_Daud	Abraham ibn Daud	Q330821	https://en.wikipedia.org/wiki/Abraham_ibn_Daud	11th through 14th centuries		Abraham ibn Daud was a Spanish-Jewish astronomer, historian and philosopher born in Córdoba, Spain about 1110 who was said to have been killed for his religious beliefs in Toledo, Spain about 1180.
Abraham_ibn_Ezra	Abraham ibn Ezra	Q270670	https://en.wikipedia.org/wiki/Abraham_ibn_Ezra	11th through 14th centuries		Abraham ben Meir Ibn Ezra was one of the most distinguished Jewish biblical commentators and philosophers of the Middle Ages.
Abu_Bakr_al-Razi	Abu Bakr al-Razi	Q169234	https://en.wikipedia.org/wiki/Abu_Bakr_al-Razi	1st through 10th centuries		Abū Bakr al-Rāzī, also known as Rhazes, 864 or 865 – 925 or 935 CE, was a Persian physician, philosopher and alchemist who lived during the Islamic Golden Age.
Abu_Hanifa	Abu Hanifa	Q190896	https://en.wikipedia.org/wiki/Abu_Hanifa	1st through 10th centuries		Abu Hanifa was a Muslim scholar, jurist, theologian, and ascetic, and the founder and eponym of the Hanafi school of Sunni jurisprudence.
Abu_Hatim_Ahmad_ibn_Hamdan_al-Razi	Abu Hatim Ahmad ibn Hamdan al-Razi	Q4670206	https://en.wikipedia.org/wiki/Abu_Hatim_Ahmad_ibn_Hamdan_al-Razi	1st through 10th centuries		Abū Ḥātim Aḥmad ibn Ḥamdān al-Rāzī was a Persian Ismaili philosopher of the 10th century, who died in 322 AH.
Abu_Hayyan_al-Tawhidi	Abu Hayyan al-Tawhidi	Q2695766	https://en.wikipedia.org/wiki/Abu_Hayyan_al-Tawhidi	1st through 10th centuries		Abū Ḥayyān al-Tawḥīdī, full name ʿAlī ibn Muḥammad ibn ʿAbbās al-Baghdadi, was an Arab intellectual, writer, and philosopher of the 10th century.
Abu_Ma'shar_al-Balkhi	Abu Ma'shar al-Balkhi	Q11373	https://en.wikipedia.org/wiki/Abu_Ma%27shar_al-Balkhi	1st through 10th centuries		Abu Ma‘shar al-Balkhi, Latinized as Albumasar, was an early Persian Muslim astrologer, thought to be the greatest astrologer of the Abbasid court in Baghdad.
Abu_Mansur_al-Maturidi	Abu Mansur al-Maturidi	Q12827721	https://en.wikipedia.org/wiki/Abu_Mansur_al-Maturidi	1st through 10th centuries		Imam Abu Mansur al-Maturidi was a Hanafi jurist and theologian who is the eponym of the Maturidi school of kalam in Sunnism.
Abu_Sulayman_Sijistani	Abu Sulayman Sijistani	Q3303997	https://en.wikipedia.org/wiki/Abu_Sulayman_Sijistani	1st through 10th centuries		Abu Sulayman Muhammad al-Sijistani, nicknamed al-Mantiqi, c.
Abu_Tammam	Abu Tammam	Q1750054	https://en.wikipedia.org/wiki/Abu_Tammam	1st through 10th centuries		Ḥabīb ibn Aws al-Ṭā’ī, better known by his sobriquet Abū Tammām, was an Arab Muslim poet.
Abu_Ya'qub_al-Sijistani	Abu Ya'qub al-Sijistani	Q1188700	https://en.wikipedia.org/wiki/Abu_Ya%27qub_al-Sijistani	1st through 10th centuries		Abu Ya'qub Ishaq ibn Ahmad al-Sijistani or al-Sijzi, also known as Bandaneh, was a 10th-century Persian Ismaili missionary active in the northern and eastern Iranian lands.
Abu_Zayd_al-Balkhi	Abu Zayd al-Balkhi	Q335516	https://en.wikipedia.org/wiki/Abu_Zayd_al-Balkhi	1st through 10th centuries		Abu Zayd Ahmed ibn Sahl Balkhi was a Persian Muslim polymath: a geographer, mathematician, physician, psychologist and scientist.
Abu_al-Hakam_al-Kirmani	Abu al-Hakam al-Kirmani	Q4670445	https://en.wikipedia.org/wiki/Abu_al-Hakam_al-Kirmani	11th through 14th centuries		Abu al-Hakam al-Kirmani was a prominent philosopher and scholar from al-Andalus.
Abu_al-Hasan_al-Ash'ari	Abu al-Hasan al-Ash'ari	Q316349	https://en.wikipedia.org/wiki/Abu_al-Hasan_al-Ash%27ari	1st through 10th centuries		Abu al-Hasan al-Ash'ari was an Arab Muslim theologian known for being the eponymous founder of the Ash'ari school of kalam in Sunnism.
Abu_al-Hassan_al-Amiri	Abu al-Hassan al-Amiri	Q4115511	https://en.wikipedia.org/wiki/Abu_al-Hassan_al-Amiri	1st through 10th centuries		Abu al-Hassan Muhammad ibn Yusuf al-Amiri was a Muslim theologian and philosopher who attempted to reconcile philosophy with religion, and Sufism with conventional Islam.
Adam_Ferguson	Adam Ferguson	Q183094	https://en.wikipedia.org/wiki/Adam_Ferguson	18th century		Adam Ferguson, also known as Ferguson of Raith, was a Scottish philosopher and historian of the Scottish Enlightenment.
